execution_time
106
92
77
55
57
57
72
60
59
60
62
55
55
58
55
58
54
58
67
57
57
54
57
55
56
69
59
56
55
56
56
56
55
56
53
54
56
54
59
64
57
55
55
55
55
56
54
56
55
55
54
55
55
54
55
54
58
55
56
56
55
56
63
56
54
58
54
55
57
55
55
56
56
56
55
55
56
56
55
54
54
56
55
54
63
55
57
54
55
53
53
54
55
56
55
57
54
57
55
56
