execution_time
76
46
35
41
38
35
36
38
39
40
40
41
40
40
47
37
35
36
36
34
35
36
35
35
37
34
36
36
35
34
36
35
36
34
36
35
42
35
36
34
36
36
34
35
36
34
35
34
35
36
34
35
34
34
36
34
35
36
34
35
37
43
34
35
36
36
36
35
34
35
36
35
36
35
36
35
34
35
35
36
35
44
34
35
36
35
35
36
35
35
34
34
35
34
36
37
35
35
35
35
